"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","177","test_get_all_comments","tests","2026-07-04","passed","2026-07-04","","test_comments","",""
"","46","test_get_posts","tests","2026-07-04","passed","2026-07-04","","test_posts","",""
"","49","test_get_comments_by_id","tests","2026-07-04","passed","2026-07-04","","test_comments","",""
"","18","test_patch_a_post[payload2]","tests","2026-07-04","passed","2026-07-04","","test_posts","",""
"","61","test_get_comments_to_the_post","tests","2026-07-04","passed","2026-07-04","","test_posts","",""
"","18","test_patch_a_post[payload1]","tests","2026-07-04","passed","2026-07-04","","test_posts","",""
"","150","test_get_post_by_id","tests","2026-07-04","passed","2026-07-04","","test_posts","",""
"","232","test_create_a_new_comment","tests","2026-07-04","skipped","2026-07-04","","test_comments","",""
"","205","test_create_a_new_post","tests","2026-07-04","skipped","2026-07-04","","test_posts","",""
"","20","test_delete_post","tests","2026-07-04","passed","2026-07-04","","test_posts","",""
"","29","test_patch_a_post[payload0]","tests","2026-07-04","passed","2026-07-04","","test_posts","",""
"","27","test_replace_a_post","tests","2026-07-04","skipped","2026-07-04","","test_posts","",""
